,gpu,backend,nx,ny,nz,nIt,nWarmUp,type,stride,time,mlups,bandwidth,compute
208,A100-SXM4-80GB,CUDA Explicit Memory,68,1,1,1024,2,double,2,385.254,0.180743,0.00144595,23.6904
209,A100-SXM4-80GB,CUDA Explicit Memory,73,1,1,1024,2,double,2,385.2,0.19406,0.00155248,25.4359
210,A100-SXM4-80GB,CUDA Explicit Memory,78,1,1,1024,2,double,2,385.183,0.207361,0.00165889,27.1792
211,A100-SXM4-80GB,CUDA Explicit Memory,84,1,1,1024,2,double,2,385.217,0.223292,0.00178634,29.2674
212,A100-SXM4-80GB,CUDA Explicit Memory,90,1,1,1024,2,double,2,385.235,0.239231,0.00191385,31.3565
213,A100-SXM4-80GB,CUDA Explicit Memory,97,1,1,1024,2,double,2,385.232,0.257839,0.00206271,33.7955
214,A100-SXM4-80GB,CUDA Explicit Memory,103,1,1,1024,2,double,2,385.192,0.273817,0.00219053,35.8897
215,A100-SXM4-80GB,CUDA Explicit Memory,111,1,1,1024,2,double,2,385.216,0.295066,0.00236053,38.6749
216,A100-SXM4-80GB,CUDA Explicit Memory,119,1,1,1024,2,double,2,385.262,0.316294,0.00253035,41.4573
217,A100-SXM4-80GB,CUDA Explicit Memory,128,1,1,1024,2,double,2,385.198,0.340272,0.00272218,44.6001
218,A100-SXM4-80GB,CUDA Explicit Memory,137,1,1,1024,2,double,2,385.321,0.364081,0.00291265,47.7208
219,A100-SXM4-80GB,CUDA Explicit Memory,147,1,1,1024,2,double,2,385.275,0.390703,0.00312562,51.2102
220,A100-SXM4-80GB,CUDA Explicit Memory,157,1,1,1024,2,double,2,385.228,0.417332,0.00333866,54.7006
221,A100-SXM4-80GB,CUDA Explicit Memory,168,1,1,1024,2,double,2,385.233,0.446566,0.00357253,58.5323
222,A100-SXM4-80GB,CUDA Explicit Memory,181,1,1,1024,2,double,2,385.255,0.481094,0.00384875,63.058
